Carnivora,Canidae,Canis,latrans,Canis latrans,2,11989.1,-999,872.39,11.94,365,3699,10450,1,255,61.74,1,18.88,19.91,365,5.72,-999,262,200.01,-999,0.25,-999,372.9,-999,8,1,3,43.71,-999,-999,367;542;543;730;1113;1297;1573;1822;2655,-999,1.1,-999,-999,17099094.3,71.39,8.02,39.7,-67.07,-168.12,-117.6,0,27.27,0,0.06,53.03,58.18,503.02,728.37
Artiodactyla,Bovidae,Bos,taurus,Bos taurus,-999,618642.42,-999,-999,-999,-999,-999,-999,-999,-999,280.48,-999,10.04,-999,-999,-999,1,240,-999,-999,-999,-999,755.15,-999,-999,-999,-999,-999,-999,-999,543;1052;1577;1594;1758;1848;2655,-999,-999,-999,-999,44447.62,15.08,11.85,13.46,108.99,107.08,108.04,2,42.48,3,0.15,174.94,228.73,1193.98,1450.23
Erinaceomorpha,Erinaceidae,Erinaceus,europaeus,Erinaceus europaeus,2,777.95,-999,237.17,-999,349.79,404.6,970.6,8,-999,36.98,1,0.08,0.07,-999,4.64,1.5,168,15.54,70,123,-999,265.8,-999,9,1,2,40,235,-999,294;402;543;678;730;799;821;826;966;1297;1411;1456;1465;1573;1577;1822;1946;2060;2062;2063;2064;2080;2219;2338;2408;2566;2655;2786;3095,-999,-999,-999,-999,3201699.12,69.9,37.67,53.78,39.87,-9.11,15.38,0,90.66,1,3.53E-03,54.11,60.39,431.18,476.38
Perissodactyla,Equidae,Equus,asinus,Equus asinus,-999,164998.49,-999,-999,-999,866.87,-999,-999,-999,-999,367,1,139.69,-999,-999,1,-999,564,29249.99,-999,3.06,-999,742.46,-999,-999,1,-999,-999,32500,-999,33;127;511;543;614;1016;1297;1458;1594;2655;3134,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Didelphimorphia,Didelphidae,Didelphis,virginiana,Didelphis virginiana,1,2442.08,-999,-999,-999,186,719.07,2951.5,4,107.5,12.69,2,0.58,0.51,136.87,8.62,2,60,0.15,13.8,18.08,-999,225.55,1,13,2,2,109.62,125,195.2,135;905;955;1297;1366;1389;1412;1573;1615;1728;1760;1773;1941;2151;2483;2484;2521;2655,-999,-999,-999,-999,5696037.14,45.32,9.91,27.61,-68.95,-110.52,-89.73,0,60.71,1,0.07,83.01,164.87,846.78,1131.84
Macroscelidea,Macroscelididae,Elephantulus,rufescens,Elephantulus rufescens,2,52.78,-999,249.83,0,144,56.86,53,5,-999,57,1,2.65E-03,3.04E-03,92.6,1.41,-999,72,10.29,-999,200,-999,61.87,1,6,1,2,24.85,-999,-999,477;543;775;966;1297;1573;1585;1657;1822;1834;1901;1947;2113;2114;2115;2151;2390;2391;2392;2655;2842,-999,2.2,-999,-999,1140379.85,10.33,-7.94,1.19,45.94,29.12,37.53,0,40.38,1,0.11,54.57,236.1,786.77,1586.51
Pilosa,Bradypodidae,Bradypus,variegatus,Bradypus variegatus,2,4136.36,-999,-999,-999,-999,685.99,3790,1,-999,170.84,1,0.01,0.02,365,1,-999,-999,271.81,-999,508.44,-999,-999,1,-999,2,1,39.28,-999,-999,730;887;889;890;905;1297;1822;1983;2106;2151;2430;2655,-999,1.1,-999,-999,8222753.4,15.99,-27.54,-5.77,-42.23,-87.54,-64.88,0,12.64,0,0.12,164.82,244.36,1324.28,1530.89
Paucituberculata,Caenolestidae,Caenolestes,fuliginosus,Caenolestes fuliginosus,2,28.64,-999,113.02,-999,-999,-999,-999,4,-999,-999,1,-999,-999,-999,3.62,-999,-999,-999,-999,-999,-999,-999,-999,4,1,2,-999,-999,-999,192;193;889;890;955;1297;1612;1760;2655,-999,-999,-999,-999,127434.1,9.04,1.17,5.1,-70.78,-76.84,-73.81,5,75.48,7,0.09,103.05,188.16,1415.54,1530.66
Cingulata,Dasypodidae,Dasypus,novemcinctus,Dasypus novemcinctus,2,3949.01,-999,442.79,0,-999,866.97,3510,5,-999,134,2,0.04,0.03,-999,3.96,-999,180,96.48,-999,20.37,-999,511.16,1,4,1,2,136.87,-999,-999,454;543;730;889;890;905;966;1171;1172;1297;1757;1822;1914;1928;1946;2151;2431;2649;2655,-999,-999,-999,-999,17080218.63,40.84,-31.88,4.48,-34.79,-108.7,-71.74,0,30.67,0,0.1,132.38,225.09,1181.55,1448.33
Microbiotheria,Microbiotheriidae,Dromiciops,gliroides,Dromiciops gliroides,1,25,-999,105.74,-999,-999,-999,-999,6,-999,-999,2,-999,-999,365,3,-999,38.4,-999,-999,49.99,-999,556.85,-999,4,2,2,-999,-999,-999,543;889;899;955;1297;1330;1571;1760;1888;2008;2151;2242;2290;2655,-999,1.1,-999,-999,58876.08,-36.77,-42.95,-39.86,-71.34,-73.96,-72.65,3,49.23,4,0.05,106.14,90.93,691.31,858.65
